model,rep,method,alpha,penalize_diag,target,lambda,edges,F1,MCC,TP,TN,FP,FN,KL,L2,SP,PRAUC,ROCAUC
7,1,rope,0.5,FALSE,None,1,4950,0.11504761904761904,NA,302,2,4646,0,46.96644793835412,52.53834501528192,13.787075973901777,0.6958693583147497,0.9242343071434272
7,1,rope,0.65,FALSE,None,1,4950,0.11504761904761904,NA,302,2,4646,0,46.96644793835412,52.53834501528192,13.787075973901777,0.6958693583147497,0.9242343071434272
7,1,rope,0.8,FALSE,None,1,4950,0.11504761904761904,NA,302,2,4646,0,46.96644793835412,52.53834501528192,13.787075973901777,0.6958693583147497,0.9242343071434272
7,1,rope,0.2,FALSE,None,1,4950,0.11504761904761904,NA,302,2,4646,0,46.96644793835412,52.53834501528192,13.787075973901777,0.6958693583147497,0.9242343071434272
7,1,rope,0.35,FALSE,None,1,4950,0.11504761904761904,NA,302,2,4646,0,46.96644793835412,52.53834501528192,13.787075973901777,0.6958693583147497,0.9242343071434272
7,1,rope,0.5,FALSE,None,1,4950,0.11504761904761904,NA,302,2,4646,0,46.96644793835412,52.53834501528192,13.787075973901777,0.6958693583147497,0.9242343071434272
7,1,rope,0.65,FALSE,None,1,4950,0.11504761904761904,NA,302,2,4646,0,46.96644793835412,52.53834501528192,13.787075973901777,0.6958693583147497,0.9242343071434272
7,1,rope,0.8,FALSE,None,1,4950,0.11504761904761904,NA,302,2,4646,0,46.96644793835412,52.53834501528192,13.787075973901777,0.6958693583147497,0.9242343071434272
7,1,rope,0.2,FALSE,None,1,4950,0.11504761904761904,NA,302,2,4646,0,46.96644793835412,52.53834501528192,13.787075973901777,0.6958693583147497,0.9242343071434272
7,1,rope,0.35,FALSE,None,1,4950,0.11504761904761904,NA,302,2,4646,0,46.96644793835412,52.53834501528192,13.787075973901777,0.6958693583147497,0.9242343071434272
7,1,rope,0.5,FALSE,None,1,4950,0.11504761904761904,NA,302,2,4646,0,46.96644793835412,52.53834501528192,13.787075973901777,0.6958693583147497,0.9242343071434272
7,1,rope,0.65,FALSE,None,1,4950,0.11504761904761904,NA,302,2,4646,0,46.96644793835412,52.53834501528192,13.787075973901777,0.6958693583147497,0.9242343071434272
7,1,rope,0.8,FALSE,None,1,4950,0.11504761904761904,NA,302,2,4646,0,46.96644793835412,52.53834501528192,13.787075973901777,0.6958693583147497,0.9242343071434272
7,1,gelnet,0.2,TRUE,None,1,1462,0.3321995464852608,NA,293,3479,1169,9,58.80215490732792,53.39208315199699,13.8897093977096,0.7570199188759685,0.9545396581596016
7,1,gelnet,0.35,TRUE,None,1,543,0.5727810650887574,NA,242,4347,301,60,113.02180844152738,53.979823815756674,13.968705504761658,0.7269662570132858,0.8859852845630393
7,1,gelnet,0.5,TRUE,None,0.9440608762859236,155,0.5570175438596491,NA,127,4621,27,175,114.82322776585043,54.31026337783069,14.02114054019373,0.6587203810229859,0.7098110986994335
7,1,gelnet,0.65,TRUE,None,0.707945784384138,177,0.5803757828810021,NA,139,4610,38,163,108.51530261145096,53.85508516723875,13.960748031412791,0.663101589860976,0.7272963661647536
